T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application,Device
2.327536000,3.731796602,1.277762294,2.323770000,8.383102602,.5619646647,.0000165855,215288,3216,NA,92496.0988788143,1383.9579648588,NA,NA,4.651306000,8.383102602,4.651306000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.311458000,3.761948172,1.276849030,2.380591000,8.453997172,.5665051364,.0000167196,215288,3216,NA,93139.4816604930,1350.9250434030,NA,NA,4.692049000,8.453997172,4.692049000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.246361000,2.349636137,1.273510654,2.345021000,6.941018137,.5155748874,.0000104427,148544,3208,NA,66126.5041549421,1368.0048067799,NA,NA,4.591382000,6.941018137,4.591382000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.331666000,3.548083798,1.278949108,2.351214000,8.230963798,.5342996778,.0000157691,215288,3216,NA,92332.2637118695,1367.8040365530,NA,NA,4.682880000,8.230963798,4.682880000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.321439000,3.949343639,1.277958135,2.335904000,8.606686639,.5947246891,.0000175524,215288,3216,NA,92739.0295415903,1376.7689083113,NA,NA,4.657343000,8.606686639,4.657343000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.226679000,2.332518487,1.273755938,2.342914000,6.902111487,.5118188035,.0000103666,148544,3208,NA,66711.0077384301,1369.2350636856,NA,NA,4.569593000,6.902111487,4.569593000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.307210000,3.487271191,1.272882766,2.345567000,8.140048191,.5251420146,.0000154988,215288,3216,NA,93310.9686591164,1371.0970524397,NA,NA,4.652777000,8.140048191,4.652777000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.325835000,3.856728222,1.277647934,2.334443000,8.517006222,.5807778969,.0000171408,215288,3216,NA,92563.7459235070,1377.6305525557,NA,NA,4.660278000,8.517006222,4.660278000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.270450000,2.439467039,1.288765534,2.335290000,7.045207039,.5352862616,.0000108419,148544,3208,NA,65424.9157655971,1373.7051929310,NA,NA,4.605740000,7.045207039,4.605740000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.322843000,3.536173160,1.284355938,2.347983000,8.206999160,.5325060758,.0000157161,215288,3216,NA,92682.9751300453,1369.6862370809,NA,NA,4.670826000,8.206999160,4.670826000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.315225000,3.714090634,1.274436607,3.754737000,9.784052634,.5592983542,.0000165069,215288,3216,NA,92987.9385372911,856.5180464037,NA,NA,6.069962000,9.784052634,6.069962000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.333933000,2.381334086,1.277152750,2.349366000,7.064633086,.5225302905,.0000105836,148544,3208,NA,63645.3574288550,1365.4747706402,NA,NA,4.683299000,7.064633086,4.683299000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.330200000,3.623042230,1.284972423,2.356486000,8.309728230,.5455875358,.0000161022,215288,3216,NA,92390.3527594197,1364.7439450096,NA,NA,4.686686000,8.309728230,4.686686000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.331198000,3.972475810,1.274666360,2.333163000,8.636836810,.5982081219,.0000176552,215288,3216,NA,92350.7998891557,1378.3863364882,NA,NA,4.664361000,8.636836810,4.664361000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.229167000,2.318054115,1.276283455,2.347822000,6.895043115,.5086449219,.0000103023,148544,3208,NA,66636.5507833195,1366.3727488710,NA,NA,4.576989000,6.895043115,4.576989000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.338481000,3.506891937,1.276507952,2.379760000,8.225132937,.5280966681,.0000155860,215288,3216,NA,92063.1811847092,1351.3967795071,NA,NA,4.718241000,8.225132937,4.718241000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.340170000,3.763595189,1.278276862,2.326519000,8.430284189,.5667531578,.0000167269,215288,3216,NA,91996.7352799155,1382.3226889614,NA,NA,4.666689000,8.430284189,4.666689000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.248022000,2.350529939,1.273301511,2.383011000,6.981562939,.5157710122,.0000104466,148544,3208,NA,66077.6451476008,1346.1960519695,NA,NA,4.631033000,6.981562939,4.631033000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.519957000,3.501517315,1.275834480,2.345745000,8.367219315,.5272873133,.0000155621,215288,3216,NA,85433.2038205413,1370.9930107492,NA,NA,4.865702000,8.367219315,4.865702000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.300079000,3.822070119,1.272135287,2.316650000,8.438799119,.5755587943,.0000169868,215288,3216,NA,93600.2632953042,1388.2114259814,NA,NA,4.616729000,8.438799119,4.616729000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
